Q,I,Di
0.0050184,12.31,1.2158
0.0050554,9.5572,1.198
0.0050926,6.411,0.98194
0.0051301,8.1225,0.98786
0.0051679,13.449,1.1599
0.005206,10.76,1.7969
0.0052444,6.5597,1.9866
0.005283,NaN,NaN
0.005322,7.3673,1.2145
0.0053612,7.9038,1.0902
0.0054007,6.7646,0.82322
0.0054405,10.697,0.80138
0.0054806,11.053,1.0518
0.005521,8.1584,0.904
0.0055616,10.031,1.0979
0.0056026,7.2831,0.93564
0.0056439,8.2631,0.90949
0.0056855,14.947,1.7291
0.0057274,4.7587,1.198
0.0057696,4.0203,0.7781
0.0058121,8.2064,1.1105
0.0058549,6.0326,0.63488
0.0058981,9.956,1.4118
0.0059416,7.6111,1.0694
0.0059853,10.582,0.95285
0.0060294,12.551,1.9409
0.0060739,6.7015,0.55673
0.0061186,7.4618,1.0589
0.0061637,5.4431,0.63971
0.0062091,8.6236,0.75882
0.0062549,4.8818,0.76707
0.006301,2.0674,0.79239
0.0063474,5.2149,0.62643
0.0063942,6.4193,0.98194
0.0064413,3.2643,0.99331
0.0064888,8.0603,1.5562
0.0065366,7.2081,0.57732
0.0065847,6.5104,0.5713
0.0066333,6.0689,0.57627
0.0066821,5.5377,0.68988
0.0067314,7.7606,0.96583
0.006781,5.2486,0.79464
0.006831,6.5608,0.9933
0.0068813,5.2851,0.63089
0.006932,4.5073,0.62295
0.0069831,6.7691,1.1642
0.0070345,4.2533,0.60506
0.0070864,5.8504,0.46908
0.0071386,5.4227,0.54453
0.0071912,6.5687,1.147
0.0072442,4.6172,0.58955
0.0072976,4.5666,0.55284
0.0073513,4.0668,0.452
0.0074055,4.9097,0.60827
0.0074601,2.9667,0.59899
0.0075151,2.3669,0.8471
0.0075704,3.4391,0.47993
0.0076262,4.8063,0.45481
0.0076824,4.2202,0.48092
0.007739,3.7691,0.50247
0.0077961,3.6394,0.35932
0.0078535,4.6737,0.6346
0.0079114,4.6955,0.59428
0.0079697,2.97,0.77329
0.0080284,2.2496,0.52219
0.0080876,3.9395,0.42729
0.0081471,4.4841,0.39863
0.0082072,5.5269,0.54995
0.0082677,4.1249,0.42138
0.0083286,4.33,0.48704
0.00839,3.7656,0.6154
0.0084518,4.0344,0.5198
0.0085141,2.9225,0.36861
0.0085768,3.4383,0.38506
0.00864,4.0515,0.69853
0.0087037,4.4365,0.49309
0.0087678,3.8143,0.36786
0.0088324,3.439,0.33936
0.0088975,3.3926,0.45222
0.0089631,3.4842,0.38743
0.0090291,2.3698,0.37883
0.0090956,2.4805,0.36932
0.0091627,4.768,1.198
0.0092302,2.2094,0.26564
0.0092982,3.4441,0.29425
0.0093667,2.1838,0.28756
0.0094357,3.5649,0.73361
0.0095053,2.9332,0.30565
0.0095753,2.5028,0.41027
0.0096459,2.4511,0.31443
0.0097169,3.0186,0.38985
0.0097885,2.8533,0.28666
0.0098607,2.9305,0.33275
0.0099333,3.5027,0.48452
0.010007,2.3468,0.2384
0.01008,2.5172,0.30871
0.010155,2.249,0.36924
0.010229,2.4688,0.35296
0.010305,2.3298,0.29715
0.010381,2.8629,0.31906
0.010457,2.2254,0.22807
0.010534,2.1771,0.24504
0.010612,2.8164,0.46155
0.01069,2.1805,0.28756
0.010769,2.128,0.29345
0.010848,2.5126,0.26909
0.010928,2.5974,0.27359
0.011009,2.3951,0.24079
0.01109,2.3224,0.32905
0.011171,1.5141,0.20961
0.011254,2.2686,0.27642
0.011337,2.2438,0.31148
0.01142,2.672,0.2709
0.011504,2.4096,0.22437
0.011589,2.0044,0.23001
0.011675,2.022,0.25417
0.011761,1.6008,0.23294
0.011847,1.9324,0.32673
0.011935,1.8969,0.20295
0.012023,1.9173,0.19089
0.012111,1.8006,0.23392
0.0122,2.0259,0.24203
0.01229,1.8811,0.2278
0.012381,1.7213,0.20882
0.012472,2.0412,0.23736
0.012564,2.2754,0.23038
0.012657,1.947,0.20929
0.01275,1.7506,0.19155
0.012844,1.0391,0.18825
0.012938,1.6073,0.19413
0.013034,2.057,0.23294
0.01313,1.8258,0.15876
0.013227,1.9927,0.21163
0.013324,2.5446,0.30105
0.013422,1.7472,0.1949
0.013521,1.9195,0.24146
0.013621,1.9043,0.17008
0.013721,1.9263,0.19419
0.013822,2.1047,0.22604
0.013924,1.7714,0.17292
0.014027,1.5823,0.24549
0.01413,1.6213,0.16556
0.014234,1.5983,0.15998
0.014339,1.5101,0.15779
0.014445,1.859,0.20454
0.014551,1.2064,0.20846
0.014658,1.5264,0.13776
0.014766,1.6056,0.16472
0.014875,1.6532,0.18023
0.014985,1.4795,0.17065
0.015095,1.354,0.15159
0.015206,1.3664,0.15659
0.015319,1.6113,0.15462
0.015431,1.6615,0.15001
0.015545,1.6124,0.1699
0.01566,1.1906,0.16453
0.015775,1.4788,0.14827
0.015891,1.535,0.13545
0.016008,1.7153,0.18052
0.016126,1.2653,0.14274
0.016245,1.6294,0.17081
0.016365,1.4868,0.13083
0.016486,1.6815,0.15803
0.016607,1.3697,0.12813
0.016729,1.6508,0.183
0.016853,1.5989,0.14559
0.016977,1.7008,0.1424
0.017102,1.6023,0.14559
0.017228,1.4982,0.16636
0.017355,1.3049,0.1173
0.017483,1.6577,0.145
0.017612,1.852,0.15806
0.017741,1.2576,0.12527
0.017872,1.3504,0.13245
0.018004,1.6446,0.14309
0.018136,1.5826,0.12275
0.01827,1.2791,0.13339
0.018405,1.5642,0.15842
0.01854,1.5103,0.11158
0.018677,1.4978,0.13784
0.018815,1.3778,0.12724
0.018953,1.2587,0.11947
0.019093,1.5609,0.12589
0.019234,1.4611,0.11802
0.019375,1.4376,0.12982
0.019518,1.3361,0.1265
0.019662,1.4827,0.1098
0.019807,1.6981,0.13238
0.019953,1.6284,0.13947
0.0201,1.3737,0.11108
0.020248,1.5589,0.11568
0.020397,1.2176,0.10973
0.020547,1.3188,0.1189
0.020699,1.3648,0.11073
0.020851,1.4751,0.10669
0.021005,1.6895,0.13199
0.02116,1.3118,0.10861
0.021316,1.6764,0.11151
0.021473,1.3496,0.11348
0.021631,1.3327,0.10705
0.02179,1.5162,0.11251
0.021951,1.6661,0.10918
0.022113,1.461,0.11452
0.022276,1.3177,0.10722
0.02244,1.6452,0.10166
0.022605,1.558,0.12373
0.022772,1.4712,0.10459
0.02294,1.9341,0.11296
0.023109,1.6903,0.11134
0.023279,1.4857,0.11802
0.02345,1.7218,0.10389
0.023623,1.8713,0.11001
0.023797,1.6253,0.11888
0.023973,1.4498,0.092688
0.024149,1.9519,0.1154
0.024327,1.6909,0.10635
0.024507,1.8943,0.11248
0.024687,1.8996,0.10383
0.024869,1.6505,0.10872
0.025052,1.6699,0.09745
0.025237,2.0406,0.11664
0.025423,1.6145,0.10119
0.02561,1.7681,0.098926
0.025799,1.9362,0.10436
0.025989,1.8672,0.11488
0.026181,2.0371,0.10193
0.026373,2.1271,0.10881
0.026568,1.6113,0.096237
0.026764,2.2015,0.10678
0.026961,1.7106,0.097264
0.027159,1.9675,0.10618
0.02736,2.0944,0.0985
0.027561,2.0983,0.11174
0.027764,1.7879,0.089738
0.027969,2.4212,0.11293
0.028175,1.881,0.096012
0.028383,2.4527,0.11081
0.028592,2.2351,0.10372
0.028802,1.8481,0.093337
0.029015,2.6147,0.10596
0.029228,2.2512,0.10577
0.029444,2.0676,0.09367
0.029661,2.1127,0.095677
0.029879,1.9154,0.095338
0.0301,2.5466,0.10071
0.030321,2.3839,0.1088
0.030545,2.3284,0.093327
0.03077,2.7927,0.10832
0.030997,2.2082,0.09851
0.031225,2.6271,0.096695
0.031455,2.2783,0.099682
0.031687,2.5856,0.096228
0.03192,2.5372,0.10119
0.032156,2.3516,0.094346
0.032393,2.6416,0.096952
0.032631,2.1923,0.091702
0.032872,3.0268,0.10253
0.033114,2.2725,0.090559
0.033358,3.1244,0.10569
0.033604,2.5129,0.092199
0.033851,2.9265,0.097271
0.034101,2.6844,0.10203
0.034352,2.6932,0.088727
0.034605,3.1732,0.10526
0.03486,2.6694,0.09171
0.035117,3.1341,0.09828
0.035376,2.5914,0.089921
0.035637,3.4191,0.1045
0.035899,2.7212,0.089395
0.036164,3.3945,0.099268
0.03643,2.8952,0.095996
0.036699,3.2173,0.092117
0.036969,2.6224,0.087773
0.037241,3.5762,0.10066
0.037516,2.649,0.087368
0.037792,3.499,0.095637
0.038071,2.5857,0.083036
0.038351,3.631,0.10096
0.038634,2.8595,0.083666
0.038919,3.457,0.09484
0.039205,2.8053,0.084093
0.039494,3.5601,0.097288
0.039785,3.0596,0.08291
0.040079,3.1709,0.08898
0.040374,3.3115,0.087368
0.040671,3.1843,0.089713
0.040971,3.6151,0.09005
0.041273,2.9278,0.081728
0.041577,3.5811,0.088975
0.041883,3.038,0.082927
0.042192,3.581,0.090485
0.042503,2.9259,0.077436
0.042816,3.2698,0.083396
0.043132,3.505,0.084267
0.04345,2.9029,0.078618
0.04377,3.5256,0.08536
0.044092,2.9022,0.076239
0.044417,3.2128,0.079904
0.044744,3.3014,0.078205
0.045074,3.0052,0.076301
0.045406,3.4732,0.081206
0.045741,2.8145,0.072598
0.046078,3.1434,0.07645
0.046417,3.038,0.074039
0.04676,2.6746,0.07034
0.047104,3.0727,0.072736
0.047451,2.8448,0.069027
0.047801,2.511,0.065449
0.048153,2.8276,0.069213
0.048508,2.5464,0.063943
0.048865,2.4395,0.063279
0.049225,2.6747,0.066052
0.049588,2.4639,0.062015
0.049954,2.5056,0.062617
0.050322,2.4531,0.062854
0.050693,2.2956,0.058113
0.051066,2.2101,0.057808
0.051442,2.3233,0.058528
0.051821,2.1266,0.05555
0.052203,1.9834,0.053546
0.052588,2.1805,0.055261
0.052975,2.036,0.053551
0.053366,1.9203,0.051322
0.053759,1.8547,0.050165
0.054155,1.9045,0.050537
0.054554,1.7743,0.047367
0.054956,1.6783,0.046724
0.055361,1.7879,0.047547
0.055769,1.8205,0.048473
0.05618,1.6806,0.045511
0.056594,1.6639,0.045013
0.057011,1.6385,0.04428
0.057431,1.6616,0.04494
0.057854,1.6147,0.043331
0.058281,1.4847,0.041818
0.05871,1.5368,0.041585
0.059143,1.5554,0.041786
0.059579,1.7302,0.043792
0.060018,1.8167,0.044172
0.06046,1.9064,0.045122
0.060905,2.2495,0.048528
0.061354,2.6386,0.052614
0.061806,3.0794,0.055983
0.062262,3.5978,0.060118
0.062721,4.2008,0.063924
0.063183,4.8933,0.069638
0.063648,5.7833,0.074396
0.064117,6.8919,0.079557
0.06459,8.2116,0.087077
0.065066,9.812,0.094512
0.065545,11.547,0.10259
0.066028,12.403,0.10583
0.066515,12.167,0.10173
0.067005,9.9186,0.092734
0.067499,7.3425,0.080174
0.067996,4.7855,0.063109
0.068497,3.1701,0.050676
0.069002,2.0742,0.041755
0.06951,1.5887,0.035713
0.070023,1.4102,0.033422
0.070539,1.4687,0.034361
0.071058,1.3505,0.032174
0.071582,1.3295,0.03171
0.072109,1.3453,0.032136
0.072641,1.2769,0.030807
0.073176,1.3222,0.031206
0.073715,1.3042,0.030758
0.074258,1.2965,0.030153
0.074806,1.2994,0.030419
0.075357,1.2817,0.029849
0.075912,1.3088,0.029957
0.076472,1.3002,0.029251
0.077035,1.3487,0.030113
0.077603,1.3326,0.029548
0.078175,1.3312,0.029194
0.078751,1.3893,0.029702
0.079331,1.3446,0.029034
