Q;I;Di
0.020213;0.60884;0.086977
0.02064;0.73558;0.086689
0.021067;0.83075;0.081856
0.021494;0.75857;0.076239
0.021921;1.1047;0.087066
0.022348;1.0631;0.08739
0.022775;0.97776;0.079569
0.023201;0.97128;0.079305
0.023628;0.83647;0.073083
0.024055;0.89394;0.075552
0.024482;0.7729;0.071762
0.024909;0.76204;0.069277
0.025336;0.87234;0.071706
0.025763;0.75283;0.065775
0.026189;0.65678;0.059956
0.026616;0.68204;0.058701
0.027043;0.62258;0.054604
0.02747;0.70037;0.054857
0.027897;0.50373;0.044876
0.028324;0.55462;0.044986
0.028751;0.45975;0.036576
0.029177;0.38924;0.033134
0.029604;0.38747;0.033472
0.030031;0.36545;0.032818
0.030458;0.37514;0.032529
0.030885;0.3727;0.031842
0.031312;0.36473;0.030607
0.031738;0.39447;0.032759
0.032165;0.35884;0.031717
0.032592;0.3396;0.029785
0.033019;0.31577;0.028243
0.033446;0.34744;0.030127
0.033873;0.31444;0.028824
0.0343;0.36271;0.030438
0.034726;0.27299;0.025568
0.035153;0.27442;0.025702
0.03558;0.34663;0.028886
0.036007;0.2696;0.025475
0.036434;0.3626;0.029315
0.036861;0.26936;0.02501
0.037288;0.36736;0.029133
0.037714;0.30575;0.026512
0.038141;0.29625;0.026497
0.038568;0.29084;0.024939
0.038995;0.30146;0.02557
0.039422;0.32379;0.026437
0.039849;0.34033;0.027696
0.040276;0.30173;0.024887
0.040702;0.28121;0.024025
0.041129;0.2487;0.022799
0.041556;0.31504;0.025896
0.041983;0.29677;0.024905
0.04241;0.25151;0.022231
0.042837;0.30523;0.024438
0.043264;0.26557;0.022942
0.04369;0.29825;0.024854
0.044117;0.25852;0.021849
0.044544;0.3412;0.024951
0.044971;0.31401;0.024227
0.045398;0.24445;0.021778
0.045825;0.33106;0.024676
0.046252;0.30354;0.02335
0.046678;0.28379;0.022577
0.047105;0.35763;0.025101
0.047532;0.30778;0.023888
0.047959;0.26107;0.020969
0.048386;0.27555;0.021583
0.048813;0.35345;0.024049
0.049239;0.30939;0.022997
0.049666;0.30995;0.022975
0.050093;0.30925;0.022376
0.05052;0.30602;0.022143
0.050947;0.36336;0.02417
0.051374;0.31488;0.022904
0.051801;0.28682;0.020863
0.052227;0.35867;0.023447
0.052654;0.33252;0.022317
0.053081;0.29082;0.021043
0.053508;0.35567;0.023006
0.053935;0.29065;0.020501
0.054362;0.34744;0.022521
0.054789;0.32408;0.021751
0.055215;0.33294;0.022295
0.055642;0.3246;0.020953
0.056069;0.32134;0.021097
0.056496;0.34145;0.021682
0.056923;0.36788;0.022472
0.05735;0.36711;0.021746
0.057777;0.35234;0.021364
0.058203;0.44193;0.023792
0.05863;0.49503;0.025395
0.059057;0.44935;0.024298
0.059484;0.53006;0.025327
0.059911;0.66717;0.028193
0.060338;0.76204;0.030288
0.060765;1.0399;0.035711
0.061191;1.2092;0.037192
